start_frame,end_frame,comment,duration_s,num_samples,sample_rate_hz,velocity_mean,velocity_std,velocity_min,velocity_max,velocity_range,acceleration_mean,acceleration_std,acceleration_min,acceleration_max,acceleration_range,jerk_mean,jerk_std,jerk_min,jerk_max,jerk_rms,max_deceleration,deceleration_events,velocity_zero_crossings,acceleration_reversals,motion_smoothness,jerk_per_second,accel_changes_per_second,distance_traveled,clip_name,scene_id,total_frames,fps
489,529,risky launch - near miss,3.999188005924225,601,150.28050672029033,-0.08640180556113929,0.04641275130883466,-0.323100144982946,-0.0028824217552914297,0.32021772322765457,-0.07428210593088379,5.716349933976168,-20.0,20.0,40.0,5.6818863683010985,48.01463355397389,-50.0,50.0,48.30996708285576,-20.0,295,0,303,0.020279875634873077,12.0799439814511,75.76538025997999,-0.34553706449030525,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020.mp4,12ClGooZWzAdgpy9ljqlxMCvkJxiy8wt__Autumn_2020,1149,10.0
122,231,stopped car on right lane,10.900000035762787,1636,150.0917426268166,1.0860134493779332,4.542182351475314,-9.06674191314981,8.050280763456035,17.117022676605846,1.2238348799074263,13.471178998360854,-20.0,20.0,40.0,1.7727957004226638,49.727437017755996,-50.0,50.0,49.743836748988436,-20.0,728,7,761,0.01970682676098462,4.563654732640314,69.81651353240063,11.83754663705834,15eb911365cc45e897494de6a5356092__Summer_2020.mp4,15eb911365cc45e897494de6a5356092__Summer_2020,752,10.0
199,261,stop sign overshoot,6.199999988079071,931,150.16129061130033,-0.21292381596150825,0.04579790539928042,-0.3134445993074878,-0.07476044696284004,0.23868415234464777,-0.046416593750858194,3.234826316293961,-20.0,17.047986198090722,37.047986198090726,-1.1430585201910581,48.018159036626926,-50.0,50.0,48.00597409594988,-20.0,473,0,415,0.020405675398719306,7.74289906262136,66.93548399966663,-1.3201276564231015,1818f7906b2643f19dcb778306e63326__Spring_2020.mp4,1818f7906b2643f19dcb778306e63326__Spring_2020,590,10.0
0,102,change in road color,10.199907004833221,1281,125.58938031425176,-0.4835767158189202,0.08357019846185391,-0.790228420831627,-0.045737073635244214,0.7444913471963828,0.021712333403775524,7.187625422023244,-20.0,20.0,40.0,0.40213882718976485,48.741529854489826,-50.0,50.0,48.72416087294699,-20.0,640,0,592,0.02011094772529508,4.776922068981518,58.03974484468153,-4.9324375310556485,184EJJzojrJ10AgJsjd5ENB4Ef9hpDnn__Spring_2020.mp4,184EJJzojrJ10AgJsjd5ENB4Ef9hpDnn__Spring_2020,1148,10.0
0,187,toll gate,18.69947201013565,2694,144.0682388540048,9.840995351897579,1.5257729816005907,1.0577661664007731,13.931551561982754,12.873785395581981,0.17414733608872277,16.17691215335163,-20.0,20.0,40.0,0.1159583585408103,49.88719255261928,-50.0,50.0,49.87806754111943,-20.0,1333,0,1250,0.01965483455502323,2.6673516511099398,66.8468071891262,184.02141713468382,18qGbmGQLzc7DwlN5XkurfMXpLCimupL__Autumn_2020.mp4,18qGbmGQLzc7DwlN5XkurfMXpLCimupL__Autumn_2020,1163,10.0
426,550,car parallel parking ahead,12.39731478691101,1860,150.03248945197177,9.98281456098205,0.7979005879533699,7.03680517024829,14.45849125275208,7.421686082503789,0.13816439025264773,15.906257324937625,-20.0,20.0,40.0,0.3492424231148607,49.91317097421832,-50.0,50.0,49.90097378933565,-20.0,909,0,899,0.01964598956669689,4.0251437224148505,72.51570323511969,123.76009457185332,18qGbmGQLzc7DwlN5XkurfMXpLCimupL__Autumn_2020.mp4,18qGbmGQLzc7DwlN5XkurfMXpLCimupL__Autumn_2020,1163,10.0
590,708,stop sign and car coming from left in a cross - near miss,0.839783251285553,122,145.27558130415264,-0.3344149713653143,0.14004827841382556,-1.3234729715959332,-0.1852970118071606,1.1381759597887726,0.2558453503725668,6.195587552272152,-20.0,20.0,40.0,5.7146850324159795,46.22337053620075,-50.0,50.0,46.38690002711884,-20.0,54,0,61,0.02110287863159891,55.236753002764786,72.63779065207632,-0.2808360919317287,1C7AzAN6liCRBHMwBgA4mynpN4kt05AO__Autumn_2020.mp4,1C7AzAN6liCRBHMwBgA4mynpN4kt05AO__Autumn_2020,1158,10.0
45,115,bus coming on lane from right,6.492498934268951,975,150.17330150856375,3.213427266375972,2.035050985290471,0.05211485442018887,8.730274921069595,8.678160066649406,-0.7908287313897703,12.200004882706633,-20.0,20.0,40.0,-1.8177267087546247,49.466214023429195,-50.0,50.0,49.474243932390394,-20.0,530,0,446,0.019812084780100665,7.620215949709839,68.69465894648147,20.863173102296788,1SKq8bGqPRZq6PUbFgTwVLyMZEwtiD2S__Summer_2020.mp4,1SKq8bGqPRZq6PUbFgTwVLyMZEwtiD2S__Summer_2020,220,10.0
511,636,blind right turn car in front,8.8024742603302,1321,150.07144138475974,6.240143780016075,0.4246375959672886,4.89224521135236,7.533999762739664,2.6417545513873044,0.005384143766026832,14.761662667379666,-20.0,20.0,40.0,0.9973445779824177,49.88341688085389,-50.0,50.0,49.87450536414852,-20.0,662,0,628,0.019656210764944445,5.665964351513777,71.34357697928019,54.928705004351094,1WIsSXYSIgeqCovYvm8qZyXOlxSnUz5U__Autumn_2020.mp4,1WIsSXYSIgeqCovYvm8qZyXOlxSnUz5U__Autumn_2020,1155,10.0
334,472,narrow pass- courier vehicle parked on curb to left,13.797165334224701,2070,150.03081791483936,4.427591654449447,2.777617885876221,-0.04235284585460073,8.719266360909026,8.761619206763626,0.14418067157233144,12.883919137893496,-20.0,20.0,40.0,0.49507016262004144,49.41488903260593,-50.0,50.0,49.40543212991433,-20.0,1002,20,968,0.019839131572617262,3.5808393197522377,70.15933900558672,61.088214088872505,1aA2LN2wTD5Z2fRPdvqmDE85eT7kf5Zo__Summer_2020.mp4,1aA2LN2wTD5Z2fRPdvqmDE85eT7kf5Zo__Summer_2020,1168,10.0
63,388,unnecessary hesitation to take unprotected left,23.602191269397736,3541,150.02844268071033,-1.3238022423392402,1.7794748902994855,-5.762498315210433,1.076588522852946,6.839086838063379,-0.22349139497727707,7.858968504815901,-20.0,20.0,40.0,2.028271184241345,46.18954766348974,-50.0,50.0,46.22754256062493,-20.0,1854,433,1727,0.021174084988993924,1.9586123183639692,73.17117212922528,-31.244633726548358,1iEFkgp7lcKN3NbORA3RJNXdHOmNVljX__Spring_2020.mp4,1iEFkgp7lcKN3NbORA3RJNXdHOmNVljX__Spring_2020,545,10.0
12,106,stop sign no overshoot,9.397078275680542,1410,150.0466377564453,1.6279275946715521,2.070628082217071,-0.2993579841830297,6.571773708475776,6.871131692658806,-0.5809883881321746,9.34153899100414,-20.0,20.0,40.0,-3.241390727464158,44.62766231188748,-50.0,50.0,44.729434994996886,-20.0,797,104,667,0.02186775323398172,4.759930021095578,70.97950878265888,15.297763034268922,1mQ4VuN3CZ27Xh7iXUILqKuNw1tciHrv__Summer_2020.mp4,1mQ4VuN3CZ27Xh7iXUILqKuNw1tciHrv__Summer_2020,1183,10.0
222,326,near miss - man at curb,10.399999976158142,1561,150.09615419024723,-1.2248055203216344,1.1167520753113125,-4.362160244113252,0.11854464707373721,4.4807048911869884,0.08363061013906087,10.461388089113505,-20.0,20.0,40.0,3.4357860336323265,49.17132195729343,-50.0,50.0,49.27549733552549,-20.0,775,34,774,0.019890404928791895,4.73802860081624,74.42307709369081,-12.737977382143358,20dec8c7eaa54f6c98b6ab29382464f1__Summer_2020.mp4,20dec8c7eaa54f6c98b6ab29382464f1__Summer_2020,850,10.0
30,216,overwhelming traffic cones all around,8.59249895811081,1288,149.89818518211217,-2.367936707581913,0.7288792555439353,-4.24362067760633,-0.4776413842424569,3.7659792933638734,-0.013225380830662508,10.915748313566995,-20.0,20.0,40.0,0.2833708769815856,49.347991284132476,-50.0,50.0,49.32964464477839,-20.0,660,0,670,0.01986900577299721,5.741012583797189,77.97498763355215,-20.346493692769926,2135a974fc804227843bd33514afbf5a__Autumn_2020.mp4,2135a974fc804227843bd33514afbf5a__Autumn_2020,232,10.0
468,638,road color change,13.094977021217346,1961,149.75207645058546,-0.6125576170771024,0.916845576846424,-2.814948861794434,0.5260158097583711,3.340964671552805,0.11050917963502895,8.259176583857947,-20.0,20.0,40.0,1.3041955027660257,48.79073823036744,-50.0,50.0,48.79572853311199,-20.0,978,1,938,0.020082043770783344,3.726293559282306,71.63051897534379,-8.021427919796311,244ndreZH1GPOzkFh0bO5HROmIpsy9WI__Autumn_2020.mp4,244ndreZH1GPOzkFh0bO5HROmIpsy9WI__Autumn_2020,1162,10.0
